id;language;question;answer
1;Table;projection Versatile;Integration
2;bypassing SCSI applications;e-commerce;Fresh
3;transmitting XML orchestrate;Nevada enterprise Belarussian Ruble;fuchsia
4;Soap Chad Regional;architectures red;Dominica
5;Program Identity;fresh-thinking Designer;array
6;Chicken violet;Home Loan Account deposit;HDD
7;pink Investor;compress;Fantastic
8;Future Specialist bypass;California;Thailand Product
9;Home Loan Account revolutionize Tonga;withdrawal fresh-thinking;Open-source Avon invoice
10;United States of America invoice;Sleek Steel Sausages;azure
